uc_fname,uc_lname,uc_team,uc_season,c_fname,c_lname,type
Steven,Jaquez,AUR,2014,Ty,Jaquez,C
Steven,Jaquez,AUR,2015,Ty,Jaquez,C
Steven,Jaquez,AUR,2016,Ty,Jaquez,C
Dan,Lo dolce,CUC,2014,Dan,Lo Dolce,T
Dan,Lodolce,CUC,2015,Dan,Lo Dolce,T
Tj,McCoy,MAR,2013,TJ,McCoy,T
Tj,McCoy,MAR,2014,TJ,McCoy,T
Quinlan,Milne rojek,DOM,2013,Quinlan,Milne Rojek,T
John,Rivera,LAK,2016,Jon,Rivera,T
Dominic,Romito,DOM,2014,Dominick,Romito,T
Dano,Schonenberg,CUW,2010,Mark,Schonenberg,C
Cody,Schafer,MAR,2013,Cody,Schaefer,T
Chayance,Stirbis,BEN,2017,Chayancze,Stirbis,T
Garrett,Morris,LAK,2012,Garrett,Vincetich-Morris,C
Walt,Ziller,MSOE,2013,Walter,Ziller,N
Casimir,Zwiazek,DOM,2011,Casey,Zwiazek,N
Casimir,Zwiazek,DOM,2012,Casey,Zwiazek,N
Mitch,Andrus,MAR,2012,Mitchell,Andrus,N
Joey,Angelillo,CUC,2010,Joe,Angelillo,N
Jonathan,Basinski,DOM,2011,Jon,Basinski,N
Kevin,Carcia,CUC,2015,Kevin,Garcia,T
Michael,Cherven,AUR,2014,Mike,Cherven,N
Zach,Creekmore,EDG,2012,Zack,Creekmore,T
Leonard,Cunzalo,DOM,2011,Lenny,Cunzalo,N
Matthew,Entsminger,ROCK,2012,Matt,Entsminger,N
Nicholas,Fillmore,BEN,2014,Nick,Fillmore,N
Robert,Fioravanti,DOM,2010,Rob,Fioravanti,N
Tyler,Floyd,BEN,2014,TJ,Floyd,N
Christopher,Garvey,DOM,2011,Chris,Garvey,N
Jake,Gorsuch,ROCK,2011,Jacob,Gorsuch,N
Jake,Gorsuch,ROCK,2012,Jacob,Gorsuch,N
Joshua,Hein,MSOE,2010,Josh,Hein,N
Joshua,Hein,MSOE,2011,Josh,Hein,N
Joshua,Hein,MSOE,2012,Josh,Hein,N
Jacob,Hilgendorf,MSOE,2010,Jake,Hilgendorf,N
Jacob,Hilgendorf,MSOE,2011,Jake,Hilgendorf,N
Jacob,Hilgendorf,MSOE,2012,Jake,Hilgendorf,N
Jeff,LaPage,AUR,2016,Jeff,Lapage,T
Casey,LaPointe,MAR,2016,Casey,Lapointe,T
Jacob,McKnight,ROCK,2015,Jake,McKnight,N
Tom,Ozlanski,AUR,2010,Thomas,Ozlanski,N
Michael,Pater,BEN,2010,Mike,Pater,N
Max,Poeske,MSOE,2013,Maxwell,Poeske,N
William,Randerson,CUC,2012,Will,Randerson,N
Mike,Ricciardi,MSOE,2011,Michael,Ricciardi,N
Jacob,Roberts,MSOE,2011,Jake,Roberts,N
Jacob,Roberts,MSOE,2012,Jake,Roberts,N
Matt,Scasny,CUW,2011,Mathew,Scasny,N
Daniel,Walczak,AUR,2014,Danny,Walczak,N
Brett,Vanasdlen,AUR,2011,Brett,Van Asdlen,T
Andy,Timblin,MARN,2013,Andrew,Timblin,N
